Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;18;183;2;6;0;0;22.10.2016;22.10.2016;21;peníze;0;nic;0;nic;1200;178;1;;;;;;25.10.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;184;2;6;0;0;05.05.2016;21.11.2016;303;byty;0;nic;0;nic;0;208;1;;;;;;21.11.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;184;2;6;0;0;28.04.2016;03.10.2016;303;byty;0;nic;0;nic;55000;208;1;;;;;;09.11.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;11;186;2;6;0;0;01.12.2008;15.04.2016;610;družka,žena ve spol.domácnosti;0;nic;0;nic;0;199;1;2d;145;1;;;16.04.2016;19.04.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;188;1;6;0;0;05.07.2016;05.07.2016;620;bez vztahu;68;brýle (dioptrické, sluneční);21;peníze;6500;177;1;;;;;;06.07.2016;31.10.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;201;2;6;4;8;08.03.2016;08.03.2016;620;bez vztahu;0;nic;0;nic;0;185;1;2a;;;;;08.03.2016;09.03.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;201;1;6;0;0;05.06.2016;05.06.2016;620;bez vztahu;0;nic;0;nic;0;185;1;2a;;;;;05.06.2016;31.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;11;201;2;6;0;0;01.04.2014;31.05.2014;620;bez vztahu;0;nic;0;nic;0;185;2a;;;;;;12.06.2016;13.06.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;201;1;6;0;0;06.08.2016;06.08.2016;620;bez vztahu;0;nic;0;nic;0;185;1;2a;;;;;08.08.2016;10.08.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;201;1;6;0;0;23.01.2016;23.01.2016;620;bez vztahu;0;nic;0;nic;0;185;1;;;;;;26.01.2016;08.03.2016;5;odloženo podle § 159a/5 tr. řádu
